"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","APPLES, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","APPLES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","APPLES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","APPLES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","APPLES","CHEMICAL, OTHER","CHEMICAL, OTHER: (SPIRODICLOFEN = 124871)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","APPLES","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","57,200","","","","","","","","61",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (A. FLAVUS NRRL 21882 = 6500)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)"," (NA)",""," (NA)",""," (NA)","","1.7","","7",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)","","1.1","","36",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BENZOVINDIFLUPYR = 122305)","300","","0.043","","0.049","","1.1","","3",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)","4,300","","0.652","","0.988","","1.5","","3",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","1,100","","0.256","","0.273","","1.1","","2",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)"," (NA)",""," (NA)",""," (NA)","","1.4","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","4,585,400","","22.635","","37.584","","1.7","","71",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CEREVISANE = 100055)","8,700","","0.491","","0.63","","1.3","","8",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","291,500","","2.041","","2.923","","1.4","","58",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)","1,300","","0.126","","0.142","","1.1","","5",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","38,900","","2.805","","2.99","","1.1","","8",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER SULFATE = 24401)","2,700","","0.191","","0.206","","1.1","","8",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","700","","0.196","","0.201","","1","","2",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","200","","0.068","","0.07","","1","","2",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ETRIDIAZOLE = 84701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","8,100","","0.089","","0.114","","1.3","","41",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUTIANIL = 14018)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","6,200","","0.089","","0.105","","1.2","","34",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","4,200","","3.017","","4.172","","1.4","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KASUGAMYCIN = 230001)","3,300","","0.084","","0.093","","1.1","","21",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","71,100","","3.645","","4.214","","1.2","","10",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","3,000","","1.39","","1.421","","1","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (METCONAZOLE = 125619)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","3,600","","0.139","","0.162","","1.2","","13",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXYTETRACYCLINE CALC = 6321)","4,900","","0.221","","0.263","","1.2","","11",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","3,400","","0.234","","0.265","","1.1","","8",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)","94,000","","2.365","","2.763","","1.2","","20",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROTHIOCONAZOLE = 113961)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PSEUDOMONAS FLUORESCENS A506 = 6438)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","6,800","","0.091","","0.11","","1.2","","36",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCIN SULFATE = 6310)","6,900","","0.351","","0.41","","1.2","","10",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","1,136,500","","6.845","","10.719","","1.6","","62",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SWINGLEA GLUTINOSA = 97096)","4,400","","1.997","","2.013","","1","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIABENDAZOLE (TBZ) = 60101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","1,300","","0.746","","0.821","","1.1","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","6,354,400","","","","","","","","92",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","20,900","","0.212","","0.272","","1.3","","45",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","22,600","","0.406","","0.449","","1.1","","29",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZIRAM = 34805)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D = 30001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, BEE = 30053)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, CHOLINE SALT = 51505)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIETH. SALT = 30016)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)","1,500","","0.577","","0.614","","1.1","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (AMMONIUM PELARGONATE = 31802)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID MONO SALT = 117401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA = 29801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIQUAT DIBROMIDE = 32201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIURON = 35505)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUAZIFOP-P-BUTYL = 122809)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUTHIACET-METHYL=108803)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FOMESAFEN = 123803)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","39,200","","1.075","","1.193","","1.1","","19",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE AMM. SALT = 103604)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","56,500","","1.394","","1.76","","1.3","","19",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ISOXABEN = 125851)","1,800","","0.906","","0.928","","1","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METSULFURON-METHYL = 122010)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NORFLURAZON = 105801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","28,800","","1.482","","1.498","","1","","11",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","50,000","","0.966","","1.2","","1.2","","24",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","51,900","","2.758","","3.102","","1.1","","10",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENOXSULAM = 119031)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRONAMIDE = 101701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)","300","","0.005","","0.006","","1.2","","26",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","2,900","","0.059","","0.08","","1.3","","21",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)","900","","0.443","","0.457","","1","","1",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SULFOMETURON METHYL = 122001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","279,200","","","","","","","","43",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","400","","0.023","","0.025","","1.1","","9",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","7,700","","0.131","","0.158","","1.2","","28",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","9,000","","0.513","","0.522","","1","","10",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)","","1.7","","16",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUBSP KURSTAKI STRAIN EVB-113-19 = 6700)"," (NA)",""," (NA)",""," (NA)","","1.3","","18",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)"," (NA)",""," (NA)",""," (NA)","","1.6","","10",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)","116,500","","1.268","","1.454","","1.1","","47",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","8,800","","0.091","","0.115","","1.3","","45",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)","76,900","","1.904","","2.519","","1.3","","18",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CLOFENTEZINE = 125501)","200","","0.193","","0.203","","1.1",""," (Z)",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,300","","0.111","","0.126","","1.1","","6",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","APPLES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYD-X GRANULO. VIRUS = 129090)"," (NA)",""," (NA)",""," (NA)","","1.4","","37",""
