"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","26,000","","0.933","","1.18","","1.3","","18",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","7,300","","1.559","","1.687","","1.1","","4",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","32,600","","2.182","","2.287","","1","","12",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ISOXABEN = 125851)","1,400","","0.618","","0.63","","1","","2",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)","2,500","","3.504","","3.675","","1","","1",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","8,900","","0.895","","1.027","","1.1","","7",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","12,000","","0.858","","1.004","","1.2","","10",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","42,700","","2.807","","3.031","","1.1","","12",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (Z)","","0.005","","0.005","","1","","5",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","300","","0.049","","0.054","","1.1","","5",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","136,600","","","","","","","","31",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","100","","0.022","","0.028","","1.3","","4",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","400","","0.098","","0.122","","1.2","","3",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)","800","","0.021","","0.029","","1.3","","22",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","1,200","","0.419","","0.578","","1.4","","2",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)","","1.8","","8",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","18,400","","0.481","","0.578","","1.2","","26",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","1,300","","0.084","","0.096","","1.1","","11",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)","18,300","","1.601","","3.177","","2","","5",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CLOTHIANIDIN = 44309)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CRYOLITE = 75101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","600","","0.065","","0.069","","1.1","","7",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)","800","","0.045","","0.065","","1.4","","10",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)","2,500","","0.225","","0.228","","1","","9",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)","500","","0.184","","0.187","","1","","2",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","12,700","","0.266","","0.419","","1.6","","25",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (INDOXACARB = 67710)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METAFLUMIZONE = 281250)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","700","","0.016","","0.103","","6.3","","6",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL = 25006)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PETROLEUM DISTILLATE = 63503)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PHOSMET = 59201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (POTASSIUM SALTS = 79021)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)","200","","0.025","","0.028","","1.1","","7",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","3,800","","0.054","","0.078","","1.4","","40",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)","2,700","","0.088","","0.137","","1.5","","16",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROTETRAMAT = 392201)","4,400","","0.096","","0.11","","1.1","","33",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","206,900","","","","","","","","65",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ZETA-CYPERMETHRIN = 129064)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRIC ACID = 128955)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRYLIC ACID = 128919)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (CITRONELLOL = 167004)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","265,000","","11.611","","12.392","","1.1","","18",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (DIPHACINONE = 67701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (ETHEPHON = 99801)","5,500","","0.189","","0.252","","1.3","","18",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (FARNESOL = 128910)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (FLUTRIAFOL = 128940)","300","","0.081","","0.107","","1.3","","3",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","3,200","","0.101","","0.246","","2.4","","11",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (GERANIOL = 597501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (GIBBERELLIC ACID = 43801)","6,200","","0.028","","0.084","","3.1","","61",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (HYDROGEN PEROXIDE = 595)","12,100","","0.864","","1.729","","2","","6",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (INDAZIFLAM = 80818)","300","","0.046","","0.048","","1.1","","5",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (IRON PHOSPHATE = 34903)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (LAVANDULYL SENECIOAT = 36005)"," (Z)","","0.001","","0.001","","1.5","","15",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (METAM-POTASSIUM = 39002)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (METHYL ANTHRANILATE = 128725)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (METRAFENONE = 325)","6,200","","0.271","","0.352","","1.3","","15",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)","76,600","","11.431","","11.444","","1","","6",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (NEROLIDOL = 128911)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (PAECILOMYCES FUMOSOR = 115002)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (PAECILOMYCES LILACIN = 28826)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (PEROXYACETIC ACID = 63201)","1,700","","0.124","","0.249","","2","","6",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (S-ABSCISIC ACID = 272000)","2,100","","0.239","","0.242","","1","","7",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","530,200","","","","","","","","66",""
"SURVEY","2019","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (ZINC PHOSPHIDE = 88601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","1,400","","0.172","","0.232","","1.3","","5",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)"," (NA)",""," (NA)",""," (NA)","","1.7","","19",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)","","1.7","","15",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)","33,700","","0.696","","1.231","","1.8","","23",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","5,700","","0.166","","0.233","","1.4","","20",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)"," (NA)",""," (NA)",""," (NA)","","1.3","","8",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","699,700","","29.839","","44.204","","1.5","","13",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)","117,900","","1.414","","3.223","","2.3","","30",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","22,500","","0.271","","0.459","","1.7","","41",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","10,300","","1.008","","1.445","","1.4","","6",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER SULFATE = 24401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","900","","0.02","","0.025","","1.2","","29",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","17,800","","0.232","","0.433","","1.9","","34",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","1,900","","0.074","","0.094","","1.3","","16",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","12,900","","0.359","","0.464","","1.3","","23",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","4,000","","0.143","","0.17","","1.2","","19",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","2,100","","0.103","","0.115","","1.1","","15",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (IPRODIONE = 109801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KRESOXIM-METHYL = 129111)","4,000","","0.094","","0.125","","1.3","","26",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","3,000","","2.287","","2.329","","1","","1",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
