"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BROCCOLI - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>VALUE</b>","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)"," (D)","","","","","","",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AMETOCTRADIN = 119210)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","4,700","","0.153","","0.173","","1.1","","22",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","500","","0.388","","0.397","","1","","1",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)","2,900","","0.975","","1.033","","1.1","","2",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CONIOTHYRIUM MINITAN = 28836)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","100","","0.222","","0.262","","1.2",""," (Z)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIMETHOMORPH = 268800)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENAMIDONE = 46679)","1,400","","0.221","","0.228","","1","","5",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (IPRODIONE = 109801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","6,500","","1.572","","1.584","","1","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANDIPROPAMIDE TECHN = 36602)","600","","0.117","","0.123","","1.1","","4",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANEB = 14505)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","700","","0.306","","0.315","","1","","2",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","1,300","","0.187","","0.221","","1.2","","5",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCES LYDICUS = 6327)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","10,400","","2.433","","3.005","","1.2","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","37,400","","","","","","","","38",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BENSULIDE = 9801)","33,500","","2.896","","3.031","","1","","9",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLETHODIM = 121011)","1,300","","0.112","","0.122","","1.1","","9",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID MONO SALT = 117401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DCPA = 78701)","78,000","","4.007","","4.33","","1.1","","15",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NAPROPAMIDE = 103001)","4,500","","0.67","","0.999","","1.5","","4",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","11,500","","0.238","","0.286","","1.2","","33",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","135,100","","","","","","","","46",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)","4,500","","0.336","","0.387","","1.2","","9",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","100","","0.063","","0.063","","1","","2",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)","200","","0.023","","0.032","","1.4","","4",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","1,700","","0.087","","0.107","","1.2","","13",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUB AIZAWAI GC-91 = 6426)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","1,800","","0.256","","0.277","","1.1","","5",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","1,300","","0.057","","0.064","","1.1","","16",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CLOTHIANIDIN = 44309)","1,500","","0.103","","0.132","","1.3","","9",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","600","","0.16","","0.161","","1","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUTHRIN = 128831)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIMETHOATE = 35001)","1,700","","0.486","","0.498","","1","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DINOTEFURAN = 44312)","2,200","","0.15","","0.164","","1.1","","11",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (EMAMECTIN BENZOATE = 122806)"," (Z)","","0.011","","0.013","","1.1","","1",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)","1,300","","0.045","","0.058","","1.3","","18",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUBENDIAMIDE = 27602)","1,000","","0.05","","0.058","","1.2","","14",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)","600","","0.165","","0.176","","1.1","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","14,000","","0.239","","0.292","","1.2","","39",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (INDOXACARB = 67710)","1,400","","0.065","","0.07","","1.1","","17",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","800","","0.028","","0.034","","1.2","","19",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)","5,300","","1.242","","1.467","","1.2","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOMYL = 90301)","600","","0.82","","0.843","","1","","1",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","400","","0.096","","0.099","","1","","3",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MYROTHECIUM VERRUC. = 119204)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NALED = 34401)","6,000","","0.935","","0.993","","1.1","","5",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL = 25006)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (OXYDEMETON-METHYL = 58702)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","2,600","","0.182","","0.198","","1.1","","11",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PETROLEUM DISTILLATE = 63503)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (POTASSIUM SALTS = 79021)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYMETROZINE = 101103)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","900","","0.045","","0.05","","1.1","","15",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROMESIFEN = 24875)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROTETRAMAT = 392201)","4,200","","0.076","","0.086","","1.1","","39",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)","2,000","","0.107","","0.11","","1","","15",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","69,000","","","","","","","","68",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ZETA-CYPERMETHRIN = 129064)","800","","0.048","","0.059","","1.2","","10",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, OTHER","CHEMICAL, OTHER: (PAECILOMYCES FUMOSOR = 115002)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BROCCOLI","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)"," (D)","","","","","","",""," (D)",""
